solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max,err_rms,err_linf,cross_err_max
penta,exp,1,128,128,2048,16384,2048,2048,5,10,host,  2.6942029000000645E-02,  2.6942029000000645E-02,  2.6940594999999234E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  2.6940594999999234E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,serial,1,128,128,2048,16384,2048,2048,5,10,host,  7.8778043999999880E-02,  7.8778043999999880E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,exp,1,128,128,2048,16384,2048,2048,6,10,host,  2.2387205999999438E-02,  2.2387205999999438E-02,  2.2386057000000292E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  2.2386057000000292E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,serial,1,128,128,2048,16384,2048,2048,6,10,host,  7.2726976000000221E-02,  7.2726976000000221E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,exp,1,128,128,2048,16384,2048,2048,7,10,host,  2.2783233000000180E-02,  2.2783233000000180E-02,  2.2781809000001374E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  2.2781809000001374E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,serial,1,128,128,2048,16384,2048,2048,7,10,host,  7.6638579000000817E-02,  7.6638579000000817E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,exp,1,128,128,2048,16384,2048,2048,8,10,host,  2.2468441000000894E-02,  2.2468441000000894E-02,  2.2466858999999673E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  2.2466858999999673E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,serial,1,128,128,2048,16384,2048,2048,8,10,host,  7.5236065000000352E-02,  7.5236065000000352E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,exp,1,128,128,2048,16384,2048,2048,9,10,host,  2.2992113000000813E-02,  2.2992113000000813E-02,  2.2990488999999670E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  2.2990488999999670E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,serial,1,128,128,2048,16384,2048,2048,9,10,host,  8.3208521999999618E-02,  8.3208521999999618E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
